Cases,year,month,neighbourhood_PK
1,2020,1,94
25,2020,3,94
14,2020,4,94
10,2020,5,94
1,2020,6,94
5,2020,7,94
5,2020,8,94
36,2020,9,94
41,2020,10,94
40,2020,11,94
80,2020,12,94
84,2021,1,94
40,2021,2,94
77,2021,3,94
146,2021,4,94
68,2021,5,94
3,2021,6,94
13,2021,7,94
25,2021,8,94
21,2021,9,94
13,2021,10,94
16,2021,11,94
794,2021,12,94
452,2022,1,94
82,2022,2,94
222,2022,3,94
248,2022,4,94
107,2022,5,94
136,2022,6,94
151,2022,7,94
109,2022,8,94
75,2022,9,94
63,2022,10,94
49,2022,11,94
51,2022,12,94
28,2023,1,94
1,2020,1,63
11,2020,3,63
114,2020,4,63
51,2020,5,63
36,2020,6,63
8,2020,7,63
9,2020,8,63
45,2020,9,63
55,2020,10,63
88,2020,11,63
138,2020,12,63
165,2021,1,63
72,2021,2,63
119,2021,3,63
308,2021,4,63
110,2021,5,63
18,2021,6,63
4,2021,7,63
31,2021,8,63
26,2021,9,63
19,2021,10,63
13,2021,11,63
255,2021,12,63
254,2022,1,63
27,2022,2,63
20,2022,3,63
41,2022,4,63
42,2022,5,63
14,2022,6,63
58,2022,7,63
29,2022,8,63
16,2022,9,63
23,2022,10,63
20,2022,11,63
33,2022,12,63
18,2023,1,63
2,2020,1,96
1,2020,2,96
16,2020,3,96
21,2020,4,96
16,2020,5,96
4,2020,6,96
6,2020,7,96
9,2020,8,96
43,2020,9,96
52,2020,10,96
96,2020,11,96
157,2020,12,96
117,2021,1,96
103,2021,2,96
210,2021,3,96
281,2021,4,96
165,2021,5,96
22,2021,6,96
14,2021,7,96
49,2021,8,96
38,2021,9,96
21,2021,10,96
26,2021,11,96
823,2021,12,96
464,2022,1,96
110,2022,2,96
113,2022,3,96
212,2022,4,96
107,2022,5,96
73,2022,6,96
167,2022,7,96
132,2022,8,96
89,2022,9,96
96,2022,10,96
58,2022,11,96
38,2022,12,96
46,2023,1,96
2,2020,2,23
24,2020,3,23
33,2020,4,23
15,2020,5,23
15,2020,6,23
8,2020,7,23
10,2020,8,23
87,2020,9,23
56,2020,10,23
84,2020,11,23
138,2020,12,23
119,2021,1,23
76,2021,2,23
181,2021,3,23
276,2021,4,23
95,2021,5,23
15,2021,6,23
19,2021,7,23
63,2021,8,23
56,2021,9,23
32,2021,10,23
49,2021,11,23
1090,2021,12,23
509,2022,1,23
98,2022,2,23
184,2022,3,23
272,2022,4,23
123,2022,5,23
94,2022,6,23
172,2022,7,23
116,2022,8,23
76,2022,9,23
67,2022,10,23
41,2022,11,23
69,2022,12,23
42,2023,1,23
1,2020,2,118
13,2020,3,118
28,2020,4,118
16,2020,5,118
5,2020,6,118
6,2020,7,118
3,2020,8,118
26,2020,9,118
51,2020,10,118
86,2020,11,118
213,2020,12,118
176,2021,1,118
84,2021,2,118
133,2021,3,118
235,2021,4,118
110,2021,5,118
11,2021,6,118
3,2021,7,118
33,2021,8,118
29,2021,9,118
19,2021,10,118
16,2021,11,118
359,2021,12,118
299,2022,1,118
31,2022,2,118
33,2022,3,118
113,2022,4,118
54,2022,5,118
32,2022,6,118
123,2022,7,118
51,2022,8,118
30,2022,9,118
40,2022,10,118
27,2022,11,118
26,2022,12,118
29,2023,1,118
1,2020,2,56
7,2020,3,56
26,2020,4,56
53,2020,5,56
7,2020,6,56
2,2020,7,56
5,2020,8,56
17,2020,9,56
48,2020,10,56
82,2020,11,56
110,2020,12,56
251,2021,1,56
90,2021,2,56
123,2021,3,56
295,2021,4,56
110,2021,5,56
5,2021,6,56
14,2021,7,56
21,2021,8,56
21,2021,9,56
8,2021,10,56
20,2021,11,56
384,2021,12,56
326,2022,1,56
45,2022,2,56
34,2022,3,56
79,2022,4,56
52,2022,5,56
33,2022,6,56
62,2022,7,56
48,2022,8,56
