location_PK,Division,Longitude,Latitude
1,D31,-79.50447515,43.76637136
2,D42,-79.21708283,43.81486078
3,D22,-79.5349571,43.58908526
4,D53,-79.34658826,43.70321193
5,D22,-79.53191599,43.64524669
6,D51,-79.37216821,43.66763473
7,D33,-79.33774388,43.7874179
8,D14,-79.41874469,43.65445612
9,D13,-79.41919633,43.68541048
10,D11,-79.43532226,43.64420447
11,D42,-79.30299286,43.80722463
12,D42,-79.30231603,43.80846023
13,D12,-79.50718536,43.71545763
14,D43,-79.14668774,43.77786772
15,D14,-79.41391587,43.63867005
16,D53,-79.42115012,43.70915453
17,D32,-79.45038487,43.7819441
18,D42,-79.21387536,43.80042217
19,D51,-79.37321466,43.65372868
20,D52,-79.38262593,43.65086783
21,D52,-79.39075649,43.64913078
22,D42,-79.28819914,43.80624828
23,D33,-79.32752394,43.72664463
24,D43,-79.25417421,43.77664804
25,D31,-79.51318036,43.73938991
26,D43,-79.25154021,43.74746858
27,D31,-79.51364457,43.74124064
28,D54,-79.29703128,43.69824602
29,D43,-79.18484133,43.7648656
30,D12,-79.51616258,43.70016019
31,D23,-79.55861018,43.69425151
32,D31,-79.5137606,43.71983148
33,D51,-79.37382409,43.64862739
34,D23,-79.58376752,43.7468156
35,D42,-79.28143095,43.77814866
36,D11,-79.45002374,43.66598952
37,D53,-79.42394687,43.70568192
38,D42,-79.24269547,43.78916735
39,D51,-79.3749069,43.65118528
40,D51,-79.37437294,43.64992152
41,D31,-79.50973955,43.76046034
42,D52,-79.38071934,43.65212606
43,D32,-79.44893304,43.71749643
44,D31,-79.53711368,43.74141784
45,D51,-79.37373773,43.66729501
46,D33,-79.38924862,43.77530221
47,D52,-79.38437564,43.65730783
48,D32,-79.42073147,43.72729185
49,D43,-79.24468,43.74478793
50,D53,-79.40982177,43.70131788
51,D11,-79.47175121,43.65212911
52,D43,-79.22979444,43.73181114
53,D42,-79.27034952,43.80718604
54,D22,-79.52796342,43.66713132
55,D22,-79.4995502,43.61906441
56,D52,-79.38372586,43.65571598
57,D12,-79.48322731,43.69340979
58,D43,-79.1755329,43.78961084
59,D13,-79.44158037,43.68650801
60,D53,-79.39061698,43.70961667
61,D32,-79.41916812,43.79462108
62,D31,-79.5177342,43.75901653
63,D32,-79.41152445,43.76399942
64,D14,-79.40059685,43.64573236
65,D52,-79.39979751,43.66751644
66,D52,-79.38088599,43.65632883
67,D22,-79.51501648,43.62011791
68,D54,-79.35625649,43.68597932
69,D14,-79.42433577,43.64309601
70,D14,-79.4149791,43.64143597
71,D32,-79.38628347,43.75912408
72,D31,-79.49363935,43.76527191
73,D31,-79.48312757,43.73115325
74,D32,-79.39648112,43.77672719
75,D43,-79.2320155,43.74303707
76,D13,-79.41513368,43.67834256
77,D53,-79.40069294,43.67327209
78,D55,-79.34515535,43.66709459
79,D32,-79.43455919,43.73122911
80,D31,-79.49004079,43.75982886
81,D31,-79.56403339,43.75612372
82,D33,-79.36378046,43.79222853
83,D51,-79.37827718,43.65626242
84,D43,-79.19068011,43.77362106
85,D12,-79.47200907,43.69657679
86,D33,-79.35974011,43.79004081
87,D52,-79.37993395,43.65406269
88,D42,-79.30466977,43.78164141
89,D31,-79.5088961,43.76454293
90,D14,-79.40892011,43.65622962
91,D51,-79.35605001,43.66165771
92,D43,-79.23064018,43.77349785
93,D23,-79.60387564,43.74364194
94,D54,-79.31061783,43.70834524
95,D22,-79.50775874,43.65955427
96,D41,-79.28551179,43.76890038
97,D22,-79.50259492,43.62633758
98,D53,-79.38782632,43.6728738
99,D33,-79.30343034,43.72668674
100,D11,-79.44642226,43.66672554
101,D31,-79.50859475,43.72091645
102,D43,-79.2561524,43.77219813
103,D41,-79.25201093,43.73584906
104,D11,-79.50345064,43.6638912
105,D41,-79.29508928,43.70999888
106,D33,-79.36744105,43.77118922
107,D32,-79.39753649,43.77931556
108,D33,-79.31749067,43.76302026
109,D51,-79.37424947,43.65350161
110,D32,-79.38858916,43.74607629
111,D14,-79.43324414,43.63774307
112,D31,-79.51472666,43.76721178
113,D42,-79.21474917,43.80759823
114,D51,-79.37352514,43.66094246
115,D43,-79.18773765,43.77269909
116,D31,-79.51203093,43.75659559
117,D53,-79.398957,43.70958457
118,D11,-79.45623789,43.67147534
119,D32,-79.45187719,43.75268874
120,D22,-79.52719993,43.59491357
121,D54,-79.29181642,43.69575899
122,D51,-79.36691319,43.65649967
123,D41,-79.27368119,43.73757726
124,D54,-79.33414521,43.71492666
125,D12,-79.47001372,43.68455787
126,D54,-79.30250485,43.71204005
127,D43,-79.24032382,43.71822561
128,D53,-79.37202995,43.7120963
129,D41,-79.27823005,43.69903669
130,D14,-79.4415258,43.63663875
131,D53,-79.38986109,43.67785353
132,D32,-79.41778215,43.7889785
133,D51,-79.37585959,43.66043919
134,D22,-79.52664112,43.60586328
135,D53,-79.39479453,43.67508461
136,D42,-79.27600862,43.7859274
137,D12,-79.48068506,43.72051599
138,D43,-79.25286052,43.7514712
139,D51,-79.38501192,43.66606363
140,D32,-79.46688641,43.76885259
141,D13,-79.44733627,43.68861217
142,D51,-79.37279194,43.6527041
143,D55,-79.34861207,43.65915101
144,D54,-79.32359895,43.68336554
145,D23,-79.56839514,43.67571392
146,D23,-79.58644259,43.69710833
147,D14,-79.40864191,43.66567614
148,D54,-79.31323389,43.69149032
149,D52,-79.39095898,43.65603534
150,D32,-79.41494292,43.7857891
151,D41,-79.31812314,43.76451458
152,D53,-79.34358503,43.70747328
153,D54,-79.32804455,43.71561353
154,D51,-79.37849549,43.65985781
155,D41,-79.25429489,43.69912998
156,D31,-79.49814917,43.7654791
157,D23,-79.59282796,43.74311454
158,D43,-79.24981216,43.77252429
159,D41,-79.28589258,43.71588716
160,D22,-79.48985065,43.61210584
161,D31,-79.50372563,43.76525072
162,D33,-79.34401234,43.76672666
163,D43,-79.24502051,43.74322907
164,D13,-79.45414243,43.691326
165,D53,-79.36802813,43.6999287
166,D43,-79.23722924,43.74123145
167,D54,-79.32752394,43.72664463
168,D13,-79.42855873,43.71420463
169,D12,-79.49012495,43.69643015
170,D43,-79.23925721,43.74058895
171,D42,-79.32012362,43.81994747
172,D32,-79.43819728,43.73027846
173,D42,-79.3198508,43.8105781
174,D41,-79.26404999,43.74582993
175,D33,-79.35725993,43.78166052
176,D53,-79.35978488,43.71460452
177,D12,-79.46583334,43.69037354
178,D42,-79.29367125,43.79577194
179,D52,-79.38640575,43.65337704
180,D51,-79.37302172,43.66318983
181,D31,-79.51769107,43.75723544
182,D32,-79.45564026,43.71825807
183,D11,-79.47060624,43.63787851
184,D41,-79.28720757,43.76957807
185,D41,-79.28516992,43.76825847
186,D43,-79.25350865,43.77439543
187,D42,-79.17065045,43.8034355
188,D22,-79.52751314,43.62280101
189,D33,-79.36888667,43.79396737
190,D42,-79.33413234,43.81176087
191,D51,-79.3763333,43.65225839
192,D33,-79.34291769,43.72877991
193,D53,-79.37942813,43.6718256
194,D14,-79.4010881,43.64697154
195,D53,-79.37727036,43.71203098
196,D42,-79.2863368,43.79654156
197,D54,-79.31818151,43.68452305
198,D41,-79.25250588,43.70275913
199,D14,-79.43899694,43.6684649
200,D54,-79.31569875,43.69249357
201,D33,-79.37433316,43.79510943
202,D23,-79.58493113,43.67834241
203,D31,-79.49105306,43.74684334
204,D41,-79.25848253,43.75285727
205,D22,-79.5311665,43.64606201
206,D52,-79.38768427,43.66564487
207,D53,-79.3682324,43.71570373
208,D42,-79.27679727,43.78230108
209,D43,-79.21880052,43.76732123
210,D31,-79.47966604,43.72971637
211,D42,-79.2785283,43.78534724
212,D51,-79.36615925,43.6679329
213,D51,-79.36597615,43.65944077
