neighbourhood_PK,Neighbourhood,Shape__Area,Shape__Length
1,Yonge-St.Clair,1161314.75244141,5873.27050652613
2,York University Heights,13246655.9714355,18504.7776156274
3,Lansing-Westgate,5346185.87353516,11112.1094187908
4,Yorkdale-Glen Park,6038325.94311523,10079.4268374564
5,Stonegate-Queensway,7946201.71362305,11853.1898033065
6,Tam O'Shanter-Sullivan,5422344.64331055,10750.4682895881
7,The Beaches,3595829.08642578,11275.1812840093
8,Thistletown-Beaumond Heights,3339481.015625,10828.4442694002
9,Thorncliffe Park,3126553.82421875,7502.70932015893
10,Danforth East York,2188597.65380859,7623.8578029557
11,Humewood-Cedarvale,1871263.38720703,6036.26817741256
12,Islington-City Centre West,16239688.6918945,20311.9293923463
13,Danforth,1119664.69775391,6233.17259531118
14,Rustic,2096348.76586914,5888.97164994937
15,Scarborough Village,3151015.08251953,7922.76449106579
16,South Parkdale,2286974.10668945,10802.8320696002
17,South Riverdale,10964573.7402344,43080.7247850628
18,St.Andrew-Windfields,7299579.79418945,13025.9972757258
19,Taylor-Massey,1062970.05541992,5940.70014432376
20,Humber Summit,7966905.41308594,12608.5730101444
21,Humbermede,4421665.03710938,12445.721939439
22,Centennial Scarborough,5468486.34399414,12038.4812149095
23,Church-Yonge Corridor,1364546.63037109,6347.04690925639
24,Clairlea-Birchmount,7397299.84033203,16485.3965614805
25,Cliffcrest,7191379.70996094,19946.0229787457
26,Flemingdon Park,2473306.35644531,8487.75189716526
27,Corso Italia-Davenport,1884658.1550293,6077.82489042755
28,Ionview,1952873.80981445,6356.14995723727
29,Junction Area,2631832.25390625,7789.28165589304
30,Broadview North,1745969.19287109,7178.12383605284
31,Princess-Rosethorn,5171203.28125,11051.877757467
32,North Riverdale,1786040.72900391,5475.63566796403
33,Etobicoke West Mall,1796641.64575195,6476.05876420878
34,Forest Hill North,1569106.00561523,5693.11590493732
35,Glenfield-Jane Heights,5149746.89477539,11437.3630678548
36,Greenwood-Coxwell,1675174.69580078,6843.00227817039
37,Guildwood,3804331.12084961,9830.06441832583
38,Trinity-Bellwoods,1729723.55419922,5343.1215061231
39,Victoria Village,4755219.19970703,11800.3415707699
40,Waterfront Communities-The Island,13416295.0585938,18366.6080878935
41,West Hill,9625439.61352539,14976.5717830339
42,West Humber-Clairville,30145323.902832,27924.1970319736
43,Westminster-Branson,3667761.81176758,11495.3648778872
44,Kennedy Park,3580725.22900391,7606.63159319886
