occurence_PK,occurrencedate,occurrencehour,occurrenceday,occurrencemonth,occurrenceyear
1,2014-01-03 05:00:00+00:00,5,3,1,2014
2,2014-01-02 05:00:00+00:00,5,2,1,2014
3,2013-12-31 05:00:00+00:00,5,31,12,2013
4,2013-12-18 05:00:00+00:00,5,18,12,2013
5,2013-12-20 05:00:00+00:00,5,20,12,2013
6,2014-01-04 05:00:00+00:00,5,4,1,2014
7,2014-01-01 05:00:00+00:00,5,1,1,2014
8,2013-11-27 05:00:00+00:00,5,27,11,2013
9,2013-12-25 05:00:00+00:00,5,25,12,2013
10,2013-12-30 05:00:00+00:00,5,30,12,2013
11,2013-01-04 05:00:00+00:00,5,4,1,2013
12,2013-11-15 05:00:00+00:00,5,15,11,2013
13,2014-01-05 05:00:00+00:00,5,5,1,2014
14,2014-01-06 05:00:00+00:00,5,6,1,2014
15,1996-01-31 05:00:00+00:00,5,31,1,1996
16,2013-12-17 05:00:00+00:00,5,17,12,2013
17,2013-12-28 05:00:00+00:00,5,28,12,2013
18,2013-11-11 05:00:00+00:00,5,11,11,2013
19,2013-12-19 05:00:00+00:00,5,19,12,2013
20,2014-01-07 05:00:00+00:00,5,7,1,2014
21,2013-12-22 05:00:00+00:00,5,22,12,2013
22,2013-09-26 04:00:00+00:00,4,26,9,2013
23,2013-12-26 05:00:00+00:00,5,26,12,2013
24,2014-01-08 05:00:00+00:00,5,8,1,2014
25,2013-12-07 05:00:00+00:00,5,7,12,2013
26,2014-01-09 05:00:00+00:00,5,9,1,2014
27,2013-12-21 05:00:00+00:00,5,21,12,2013
28,2013-12-06 05:00:00+00:00,5,6,12,2013
29,2013-12-27 05:00:00+00:00,5,27,12,2013
30,2012-03-01 05:00:00+00:00,5,1,3,2012
31,2013-06-27 04:00:00+00:00,4,27,6,2013
32,2013-11-21 05:00:00+00:00,5,21,11,2013
33,2013-12-24 05:00:00+00:00,5,24,12,2013
34,2013-12-23 05:00:00+00:00,5,23,12,2013
35,2013-05-01 04:00:00+00:00,4,1,5,2013
36,1998-06-01 04:00:00+00:00,4,1,6,1998
37,2013-12-29 05:00:00+00:00,5,29,12,2013
38,2013-01-05 05:00:00+00:00,5,5,1,2013
39,2013-09-23 04:00:00+00:00,4,23,9,2013
40,2013-12-02 05:00:00+00:00,5,2,12,2013
41,2013-09-12 04:00:00+00:00,4,12,9,2013
42,2013-12-01 05:00:00+00:00,5,1,12,2013
43,2013-12-13 05:00:00+00:00,5,13,12,2013
44,2013-12-14 05:00:00+00:00,5,14,12,2013
45,2014-01-11 05:00:00+00:00,5,11,1,2014
46,2014-01-10 05:00:00+00:00,5,10,1,2014
47,2014-01-12 05:00:00+00:00,5,12,1,2014
48,2013-09-30 04:00:00+00:00,4,30,9,2013
49,2014-01-13 05:00:00+00:00,5,13,1,2014
50,2003-01-01 05:00:00+00:00,5,1,1,2003
51,2013-01-01 05:00:00+00:00,5,1,1,2013
52,2013-07-14 04:00:00+00:00,4,14,7,2013
53,2013-12-11 05:00:00+00:00,5,11,12,2013
54,2014-01-23 05:00:00+00:00,5,23,1,2014
55,2014-01-18 05:00:00+00:00,5,18,1,2014
56,2014-01-22 05:00:00+00:00,5,22,1,2014
57,2014-01-17 05:00:00+00:00,5,17,1,2014
58,2014-01-20 05:00:00+00:00,5,20,1,2014
59,2014-01-24 05:00:00+00:00,5,24,1,2014
60,2013-10-17 04:00:00+00:00,4,17,10,2013
61,2014-01-16 05:00:00+00:00,5,16,1,2014
62,2014-01-15 05:00:00+00:00,5,15,1,2014
63,2013-11-20 05:00:00+00:00,5,20,11,2013
64,2014-01-19 05:00:00+00:00,5,19,1,2014
65,2014-01-14 05:00:00+00:00,5,14,1,2014
66,2014-01-21 05:00:00+00:00,5,21,1,2014
67,2013-11-23 05:00:00+00:00,5,23,11,2013
68,2013-01-15 05:00:00+00:00,5,15,1,2013
69,2013-11-01 04:00:00+00:00,4,1,11,2013
70,2013-11-14 05:00:00+00:00,5,14,11,2013
71,2013-02-05 05:00:00+00:00,5,5,2,2013
72,2012-05-01 04:00:00+00:00,4,1,5,2012
73,2013-01-13 05:00:00+00:00,5,13,1,2013
74,2013-12-15 05:00:00+00:00,5,15,12,2013
75,2013-09-02 04:00:00+00:00,4,2,9,2013
76,2013-06-05 04:00:00+00:00,4,5,6,2013
77,2013-09-11 04:00:00+00:00,4,11,9,2013
78,2009-01-15 05:00:00+00:00,5,15,1,2009
79,2014-01-25 05:00:00+00:00,5,25,1,2014
80,2014-01-26 05:00:00+00:00,5,26,1,2014
81,2013-03-15 04:00:00+00:00,4,15,3,2013
82,2013-08-30 04:00:00+00:00,4,30,8,2013
83,2013-10-20 04:00:00+00:00,4,20,10,2013
84,2013-08-29 04:00:00+00:00,4,29,8,2013
85,2013-02-17 05:00:00+00:00,5,17,2,2013
86,2011-03-01 05:00:00+00:00,5,1,3,2011
87,2013-10-28 04:00:00+00:00,4,28,10,2013
88,2004-01-01 05:00:00+00:00,5,1,1,2004
89,2012-05-19 04:00:00+00:00,4,19,5,2012
90,2010-06-01 04:00:00+00:00,4,1,6,2010
91,2013-10-01 04:00:00+00:00,4,1,10,2013
92,2014-01-27 05:00:00+00:00,5,27,1,2014
93,2014-02-05 05:00:00+00:00,5,5,2,2014
94,2014-01-28 05:00:00+00:00,5,28,1,2014
95,2014-01-29 05:00:00+00:00,5,29,1,2014
96,2014-02-01 05:00:00+00:00,5,1,2,2014
97,2014-01-31 05:00:00+00:00,5,31,1,2014
98,2014-02-03 05:00:00+00:00,5,3,2,2014
99,2014-02-06 05:00:00+00:00,5,6,2,2014
100,2014-02-04 05:00:00+00:00,5,4,2,2014
101,2012-12-01 05:00:00+00:00,5,1,12,2012
102,2011-01-23 05:00:00+00:00,5,23,1,2011
103,2013-10-14 04:00:00+00:00,4,14,10,2013
104,2013-08-16 04:00:00+00:00,4,16,8,2013
105,2014-01-30 05:00:00+00:00,5,30,1,2014
106,2013-11-25 05:00:00+00:00,5,25,11,2013
107,2013-08-03 04:00:00+00:00,4,3,8,2013
108,2013-01-20 05:00:00+00:00,5,20,1,2013
109,2013-08-27 04:00:00+00:00,4,27,8,2013
110,2014-02-02 05:00:00+00:00,5,2,2,2014
111,2013-09-10 04:00:00+00:00,4,10,9,2013
112,2004-05-23 04:00:00+00:00,4,23,5,2004
113,2014-02-07 05:00:00+00:00,5,7,2,2014
114,2013-09-01 04:00:00+00:00,4,1,9,2013
115,2013-02-01 05:00:00+00:00,5,1,2,2013
116,2013-06-30 04:00:00+00:00,4,30,6,2013
117,2013-06-01 04:00:00+00:00,4,1,6,2013
118,2013-10-18 04:00:00+00:00,4,18,10,2013
119,2013-11-10 05:00:00+00:00,5,10,11,2013
120,2013-11-30 05:00:00+00:00,5,30,11,2013
121,2013-01-27 05:00:00+00:00,5,27,1,2013
122,2013-11-06 05:00:00+00:00,5,6,11,2013
123,2013-09-27 04:00:00+00:00,4,27,9,2013
124,2012-01-01 05:00:00+00:00,5,1,1,2012
125,2014-02-11 05:00:00+00:00,5,11,2,2014
126,2014-02-10 05:00:00+00:00,5,10,2,2014
127,2013-09-21 04:00:00+00:00,4,21,9,2013
128,2014-02-09 05:00:00+00:00,5,9,2,2014
129,2010-10-01 04:00:00+00:00,4,1,10,2010
130,2014-02-12 05:00:00+00:00,5,12,2,2014
131,2014-02-08 05:00:00+00:00,5,8,2,2014
132,2014-02-18 05:00:00+00:00,5,18,2,2014
133,2014-02-13 05:00:00+00:00,5,13,2,2014
134,2014-02-15 05:00:00+00:00,5,15,2,2014
135,1999-10-01 04:00:00+00:00,4,1,10,1999
136,2014-02-19 05:00:00+00:00,5,19,2,2014
137,2013-03-31 04:00:00+00:00,4,31,3,2013
138,2014-02-14 05:00:00+00:00,5,14,2,2014
139,2014-02-17 05:00:00+00:00,5,17,2,2014
140,2014-02-16 05:00:00+00:00,5,16,2,2014
141,2013-08-02 04:00:00+00:00,4,2,8,2013
142,2009-04-12 04:00:00+00:00,4,12,4,2009
143,2013-11-26 05:00:00+00:00,5,26,11,2013
144,2013-04-01 04:00:00+00:00,4,1,4,2013
145,2012-02-19 05:00:00+00:00,5,19,2,2012
146,2012-11-01 04:00:00+00:00,4,1,11,2012
147,2014-02-20 05:00:00+00:00,5,20,2,2014
148,2008-01-01 05:00:00+00:00,5,1,1,2008
149,2013-02-10 05:00:00+00:00,5,10,2,2013
150,2011-02-07 05:00:00+00:00,5,7,2,2011
