reported_PK,reporteddate,reportedhour,reportedday,reportedmonth,reportedyear
1,2014-01-03 05:00:00+00:00,5,3,1,2014
2,2014-01-04 05:00:00+00:00,5,4,1,2014
3,2014-01-05 05:00:00+00:00,5,5,1,2014
4,2014-01-06 05:00:00+00:00,5,6,1,2014
5,2014-01-07 05:00:00+00:00,5,7,1,2014
6,2014-01-08 05:00:00+00:00,5,8,1,2014
7,2014-01-09 05:00:00+00:00,5,9,1,2014
8,2014-01-01 05:00:00+00:00,5,1,1,2014
9,2014-01-02 05:00:00+00:00,5,2,1,2014
10,2014-01-11 05:00:00+00:00,5,11,1,2014
11,2014-01-12 05:00:00+00:00,5,12,1,2014
12,2014-01-13 05:00:00+00:00,5,13,1,2014
13,2014-01-10 05:00:00+00:00,5,10,1,2014
14,2014-01-23 05:00:00+00:00,5,23,1,2014
15,2014-01-18 05:00:00+00:00,5,18,1,2014
16,2014-01-20 05:00:00+00:00,5,20,1,2014
17,2014-01-24 05:00:00+00:00,5,24,1,2014
18,2014-01-14 05:00:00+00:00,5,14,1,2014
19,2014-01-21 05:00:00+00:00,5,21,1,2014
20,2014-01-15 05:00:00+00:00,5,15,1,2014
21,2014-01-16 05:00:00+00:00,5,16,1,2014
22,2014-01-19 05:00:00+00:00,5,19,1,2014
23,2014-01-17 05:00:00+00:00,5,17,1,2014
24,2014-01-22 05:00:00+00:00,5,22,1,2014
25,2014-01-25 05:00:00+00:00,5,25,1,2014
26,2014-01-26 05:00:00+00:00,5,26,1,2014
27,2014-01-27 05:00:00+00:00,5,27,1,2014
28,2014-02-05 05:00:00+00:00,5,5,2,2014
29,2014-01-28 05:00:00+00:00,5,28,1,2014
30,2014-01-29 05:00:00+00:00,5,29,1,2014
31,2014-02-01 05:00:00+00:00,5,1,2,2014
32,2014-02-06 05:00:00+00:00,5,6,2,2014
33,2014-01-30 05:00:00+00:00,5,30,1,2014
34,2014-02-02 05:00:00+00:00,5,2,2,2014
35,2014-02-07 05:00:00+00:00,5,7,2,2014
36,2014-02-04 05:00:00+00:00,5,4,2,2014
37,2014-01-31 05:00:00+00:00,5,31,1,2014
38,2014-02-03 05:00:00+00:00,5,3,2,2014
39,2014-02-11 05:00:00+00:00,5,11,2,2014
40,2014-02-12 05:00:00+00:00,5,12,2,2014
41,2014-02-18 05:00:00+00:00,5,18,2,2014
42,2014-02-09 05:00:00+00:00,5,9,2,2014
43,2014-02-14 05:00:00+00:00,5,14,2,2014
44,2014-02-15 05:00:00+00:00,5,15,2,2014
45,2014-02-19 05:00:00+00:00,5,19,2,2014
46,2014-02-20 05:00:00+00:00,5,20,2,2014
47,2014-02-10 05:00:00+00:00,5,10,2,2014
48,2014-02-16 05:00:00+00:00,5,16,2,2014
49,2014-02-13 05:00:00+00:00,5,13,2,2014
50,2014-02-08 05:00:00+00:00,5,8,2,2014
51,2014-02-17 05:00:00+00:00,5,17,2,2014
52,2014-02-24 05:00:00+00:00,5,24,2,2014
53,2014-02-21 05:00:00+00:00,5,21,2,2014
54,2014-02-25 05:00:00+00:00,5,25,2,2014
55,2014-02-27 05:00:00+00:00,5,27,2,2014
56,2014-02-23 05:00:00+00:00,5,23,2,2014
57,2014-02-28 05:00:00+00:00,5,28,2,2014
58,2014-02-26 05:00:00+00:00,5,26,2,2014
59,2014-03-03 05:00:00+00:00,5,3,3,2014
60,2014-02-22 05:00:00+00:00,5,22,2,2014
61,2014-03-01 05:00:00+00:00,5,1,3,2014
62,2014-03-02 05:00:00+00:00,5,2,3,2014
63,2014-03-04 05:00:00+00:00,5,4,3,2014
64,2014-03-07 05:00:00+00:00,5,7,3,2014
65,2014-03-12 04:00:00+00:00,4,12,3,2014
66,2014-03-11 04:00:00+00:00,4,11,3,2014
67,2014-03-08 05:00:00+00:00,5,8,3,2014
68,2014-03-15 04:00:00+00:00,4,15,3,2014
69,2014-03-10 04:00:00+00:00,4,10,3,2014
70,2014-03-06 05:00:00+00:00,5,6,3,2014
71,2014-03-16 04:00:00+00:00,4,16,3,2014
72,2014-03-05 05:00:00+00:00,5,5,3,2014
73,2014-03-13 04:00:00+00:00,4,13,3,2014
74,2014-03-09 05:00:00+00:00,5,9,3,2014
75,2014-03-14 04:00:00+00:00,4,14,3,2014
76,2014-03-20 04:00:00+00:00,4,20,3,2014
77,2014-03-18 04:00:00+00:00,4,18,3,2014
78,2014-03-25 04:00:00+00:00,4,25,3,2014
79,2014-03-22 04:00:00+00:00,4,22,3,2014
80,2014-03-27 04:00:00+00:00,4,27,3,2014
81,2014-03-17 04:00:00+00:00,4,17,3,2014
82,2014-03-19 04:00:00+00:00,4,19,3,2014
83,2014-03-23 04:00:00+00:00,4,23,3,2014
84,2014-03-24 04:00:00+00:00,4,24,3,2014
85,2014-03-21 04:00:00+00:00,4,21,3,2014
86,2014-03-26 04:00:00+00:00,4,26,3,2014
87,2014-03-28 04:00:00+00:00,4,28,3,2014
88,2014-04-04 04:00:00+00:00,4,4,4,2014
89,2014-04-08 04:00:00+00:00,4,8,4,2014
90,2014-04-05 04:00:00+00:00,4,5,4,2014
91,2014-04-09 04:00:00+00:00,4,9,4,2014
92,2014-04-02 04:00:00+00:00,4,2,4,2014
93,2014-04-07 04:00:00+00:00,4,7,4,2014
94,2014-04-03 04:00:00+00:00,4,3,4,2014
95,2014-04-01 04:00:00+00:00,4,1,4,2014
96,2014-03-29 04:00:00+00:00,4,29,3,2014
97,2014-04-06 04:00:00+00:00,4,6,4,2014
98,2014-03-30 04:00:00+00:00,4,30,3,2014
99,2014-03-31 04:00:00+00:00,4,31,3,2014
100,2014-04-17 04:00:00+00:00,4,17,4,2014
101,2014-04-11 04:00:00+00:00,4,11,4,2014
102,2014-04-18 04:00:00+00:00,4,18,4,2014
103,2014-04-16 04:00:00+00:00,4,16,4,2014
104,2014-04-20 04:00:00+00:00,4,20,4,2014
